Доброе утро!;Bom dia!
Добрый вечер!;Boa noite!
Как дела?;Como vai?
Хорошо, спасибо.;Bem, obrigado.
Как вас зовут?;Como se chama?
Меня зовут...;Meu nome é...
Приятно познакомиться.;Prazer em conhecê-lo.
Извините, вы говорите по-английски?;Desculpe, você fala inglês?
Я не понимаю.;Não entendo.
Вы можете повторить, пожалуйста?;Pode repetir, por favor?
Где находится туалет?;Onde fica o banheiro?
Сколько это стоит?;Quanto custa isso?
Я хотел бы заказать...;Eu gostaria de pedir...
Счет, пожалуйста.;A conta, por favor.
Где находится ближайший банк?;Onde fica o banco mais próximo?
Как добраться до...?;Como chego a...?
У вас есть свободные номера?;Tem quartos disponíveis?
Я заблудился.;Estou perdido.
Можете мне помочь?;Pode me ajudar?
Который час?;Que horas são?
С днем рождения!;Feliz aniversário!
Поздравляю!;Parabéns!
Приятного аппетита!;Bom apetite!
Будьте здоровы!;Saúde!
Удачи!;Boa sorte!
Хорошего дня!;Tenha um bom dia!
Спокойной ночи!;Boa noite! (para dormir)
Я люблю тебя.;Eu te amo.
Мне нужна помощь.;Preciso de ajuda.
Осторожно!;Cuidado!
Извините за опоздание.;Desculpe pelo atraso.
Спасибо за приглашение.;Obrigado pelo convite.
Добро пожаловать!;Bem-vindo!
Приятного путешествия!;Boa viagem!
Не могли бы вы говорить помедленнее?;Poderia falar mais devagar?
Я не говорю по-португальски.;Não falo português.
Где я могу купить...?;Onde posso comprar...?
Вы принимаете кредитные карты?;Aceitam cartões de crédito?
Можно мне меню, пожалуйста?;Posso ver o cardápio, por favor?
У вас есть вегетарианские блюда?;Vocês têm pratos vegetarianos?
Я потерял свой паспорт.;Perdi meu passaporte.
Где находится посольство?;Onde fica a embaixada?
Вызовите скорую помощь!;Chame uma ambulância!
Я аллергик на...;Sou alérgico a...
Это срочно.;É urgente.
Который выход на посадку?;Qual é o portão de embarque?
Где можно обменять деньги?;Onde posso trocar dinheiro?
У вас есть Wi-Fi?;Vocês têm Wi-Fi?
Какой пароль от Wi-Fi?;Qual é a senha do Wi-Fi?
Можно сделать фото?;Posso tirar uma foto?
Вы можете порекомендовать хороший ресторан?;Pode recomendar um bom restaurante?
Как добраться до центра города?;Como chego ao centro da cidade?
Где находится ближайшая станция метро?;Onde fica a estação de metrô mais próxima?
Во сколько отправляется поезд?;A que horas parte o trem?
Можно мне еще раз?;Posso ter mais um?
Я согласен.;Eu concordo.
Я не согласен.;Eu discordo.
Это правда?;Isso é verdade?
Я не уверен.;Não tenho certeza.
Что вы посоветуете?;O que você recomenda?
Я просто смотрю.;Estou apenas olhando.
Можно примерить?;Posso experimentar?
У вас есть это другого размера?;Tem isso em outro tamanho?
Хорошего выходного!;Bom fim de semana!
Приятного отдыха!;Aproveite suas férias!
Будьте как дома!;Fique à vontade!
Не беспокойтесь.;Não se preocupe.
Нет проблем.;Sem problemas.
Я рад вас видеть.;Estou feliz em vê-lo.
Давно не виделись!;Há quanto tempo!
Как прошел ваш день?;Como foi seu dia?
Что нового?;O que há de novo?
Это не моя вина.;Não é minha culpa.
Я сожалею.;Eu lamento.
Ничего страшного.;Tudo bem.
Я горжусь тобой.;Estou orgulhoso de você.
Я скучал по тебе.;Senti sua falta.
Береги себя!;Cuide-se!
До скорой встречи!;Até breve!
Я перезвоню.;Eu ligo de volta.
Оставьте сообщение после сигнала.;Deixe uma mensagem após o sinal.
Я занят сейчас.;Estou ocupado agora.
Можно отложить это на потом?;Podemos adiar isso?
У меня есть вопрос.;Tenho uma pergunta.
Я не знаю ответа.;Não sei a resposta.
Это отличная идея!;Que ótima ideia!
Я в этом не уверен.;Não estou certo disso.
Мне это не нравится.;Não gosto disso.
Я полностью согласен.;Concordo plenamente.
Вы правы.;Você está certo.
Вы ошибаетесь.;Você está errado.
Я передумал.;Mudei de ideia.
Это зависит.;Depende.
Я постараюсь.;Vou tentar.
Не торопитесь.;Não tenha pressa.
Будьте осторожны.;Tenha cuidado.
Я рад за тебя.;Estou feliz por você.
Это важно.;Isso é importante.
Нет необходимости.;Não há necessidade.
Я не возражаю.;Não me importo.
Как вы себя чувствуете?;Como você se sente?
Мне нужен совет.;Preciso de um conselho.
Я не могу в это поверить!;Não posso acreditar nisso!
Это сюрприз!;Que surpresa!